101; Helm Dietmar; Landwirtschaftsmeister, Stadtratsmitglied, Burgfarrnbach; 1968;
102; Bayer-Tersch Birgit; Dipl.-Betriebsw. (FH), Geschäftsführerin, Stadtratsmitglied, Poppenreuth; 1961;
103; Ammon Maximilian; Metzgermeister, Stadtratsmitglied, Burgfarrnbach; 1953;
104; Dr. Heilmaier Andrea; Richterin am Amtsgericht, Stadtratsmitglied; 1978;
105; Dr. Schmidt Joachim; Arzt, Stadtratsmitglied, Ronhof; 1953;
106; Ledenko Angelika; Heilpraktikerin, Stadtratsmitglied, Sack; 1955;
107; Brückner Peter; selbständiger Kaufmann, Dambach; 1967;
108; Morawski Ronald; selbständiger Schausteller, Stadtratsmitglied, Stadeln; 1959;
109; Dr. Falkenberg-Pellengahr Frfr. v. Freusberg-Steinhorst Karin; Spielzeugsmuseumsleiterin; 1969;
110; Brunner Christian; B.A., Student; 1995;
111; Dr. Au Michael; Dr. jur., Rechtsanwalt, Stadtratsmitglied, Oberfürberg; 1970;
112; Helgert Michael; selbständiger Elektro-Handwerksmeister; 1964;
113; Partheimüller Michaela; Geschäftsführerin, Stadeln; 1976;
114; König Wolfgang; selbständig, Dambach; 1958;
115; Pfann Peter; Landwirt, Stadtratsmitglied; 1943;
116; Blösel Thomas; Kaufmann Medizintechnik; 1962;
117; Kachelrieß Andreas; Fliesenlegermeister; 1972;
118; Wenning Simone; Modedesignerin, Poppenreuth; 1977;
119; Ziegelmeir Sigrid; Gymnasiallehrerin; 1955;
120; Scheuerer Stephan; Anlagenmechaniker, Kommandant Freiwillige Feuerwehr; 1969;
121; Kahl Günter; Softwarereferent, Stadeln; 1958;
122; Hofmann Michael; Kaufmann für Büromanagement; 1994;
123; Dr. Latteier Alexandra; Geschäftsführerin, Stadeln; 1977;
124; Middendorf Robert; Dipl.-Forsting. (Univ.), Vertriebsbeauftragter; 1981;
125; Kuhn-Otte Claudia; Volljuristin; 1965;
126; Bühn Hans-Jürgen; Verkehrsfachwirt; 1947;
127; Szablyar Thomas; Student; 1994;
128; Oeser Samuel; Auszubildender; 2000;
129; Erdmannsdörfer Susanne; Systemanalytikerin; 1957;
130; Pausch Dominik; Beamter; 1984;
131; Winning Thomas; selbständig, Stadeln; 1972;
132; Stich Franz; Erster Kriminalhauptkommissar a.D., Stadtratsmitglied, Burgfarrnbach; 1940;
133; Jochum Peter; Geschäftsführer; 1966;
134; Hofmann Norbert; staatl. gepr. Maschinenbautechniker, Vach; 1968;
135; Schmitzer Yvonne; Verwaltungsbeamtin; 1983;
136; Kaiser Johannes; B.A., Sozialpädagoge; 1971;
137; Torres Anna; Diplom-Kauffrau, Dambach; 1977;
138; Dr. Zaus Edgar; Patentingenieur, Vach; 1977;
139; Leibinger Petra; Rechtsanwältin, Burgfarrnbach; 1965;
140; Jäger Fred; Fahrlehrer, Poppenreuth; 1954;
141; Krause-Teichgräber Marlise; Senior Account Managerin; 1954;
142; Klaus Alexandra; Dipl.-Grafikdesignerin, Fotografin, Burgfarrnbach; 1973;
143; Rudisch Petra; Rentnerin; 1946;
144; Hildebrandt Andrea; Reiseverkehrskauffrau; 1972;
145; Morawski Denny; selbständiger Schausteller, Stadeln; 1979;
146; Scheuerer Adalbert; Elektromeister; 1949;
147; Beiling Erika; Rentnerin; 1943;
148; Otte Kirsten; Studentin; 2000;
149; Weier Marcus; Verwaltungsfachangestellter, Vach; 1988;
150; Helgert Lavinia; Studentin; 2001;
